,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Bambous Virieux,75,MU,2019-03-19 03:54:03,83,-20.34,57.76,27.0,4.1
1,Punta Arenas,75,CL,2019-03-19 03:53:17,75,-53.16,-70.91,5.0,4.1
2,San Quintin,0,PH,2019-03-19 03:56:29,57,17.54,120.52,29.71,1.17
3,Atuona,56,PF,2019-03-19 03:49:59,98,-9.8,-139.03,28.41,6.57
4,Hermanus,64,ZA,2019-03-19 03:46:59,95,-34.42,19.24,17.78,1.37
5,Alexandria,1,US,2019-03-19 03:55:17,93,31.31,-92.44,11.11,3.22
6,Borskoye,0,RU,2019-03-19 03:56:30,70,53.03,51.7,-8.44,1.32
7,Tuktoyaktuk,90,CA,2019-03-19 03:00:00,92,69.44,-133.03,-5.0,11.3
8,Srednekolymsk,48,RU,2019-03-19 03:53:17,62,67.46,153.71,-22.04,1.62
9,Viedma,56,AR,2019-03-19 03:52:21,78,-40.81,-62.99,7.71,1.37
10,Tasiilaq,32,GL,2019-03-19 02:50:00,86,65.61,-37.64,-3.0,4.6
11,Dingle,48,PH,2019-03-19 03:52:15,70,11.0,122.67,28.31,6.37
12,Severo-Kurilsk,88,RU,2019-03-19 03:47:47,95,50.68,156.12,0.16,6.47
13,Torbay,90,CA,2019-03-19 03:48:31,79,47.66,-52.73,-4.44,4.6
14,Carnarvon,0,ZA,2019-03-19 03:52:10,84,-30.97,22.13,10.16,1.32
15,Cape Town,0,ZA,2019-03-19 03:53:13,93,-33.93,18.42,18.89,2.1
16,Pinar del Rio,48,CU,2019-03-19 03:56:32,91,22.42,-83.7,22.16,0.77
17,Avarua,12,CK,2019-03-19 03:00:00,83,-21.21,-159.78,28.0,1.5
18,Broome,0,GB,2019-03-19 03:53:16,93,52.47,1.45,6.67,1.5
19,Ko Samui,20,TH,2019-03-19 03:00:00,74,9.54,99.94,30.0,4.6
20,Vestmannaeyjar,80,IS,2019-03-19 03:52:39,94,63.44,-20.27,5.16,9.37
21,Rikitea,44,PF,2019-03-19 03:52:07,100,-23.12,-134.97,25.76,8.72
22,Sumenep,8,ID,2019-03-19 03:56:33,99,-7.02,113.87,28.96,4.42
